ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
GPT4.1_101,3rd,232.541753,618,6.118811881,3.255932203,3.106173908,0.970873786,0.190789474,10.41489362,1.539473684,2,GPT,UK,dream
GPT4.1_101,1st,180.0246743,608,7.896103896,3.481228669,3.1154296,1.644736842,0.256756757,11.34567901,1.581081081,2.909090909,GPT,UK,stereotype
GPT4.1_102,3rd,228.583682,638,7.010989011,3.078303426,3.103317229,0.626959248,0.278481013,11.14942529,1.607594937,2.16,GPT,UK,dream
GPT4.1_102,2nd,208.1713523,624,7.518072289,3.055276382,3.118193506,0.801282051,0.186206897,12.46153846,1.565517241,2.259259259,GPT,UK,technology
GPT4.1_102,1st,201.9804458,585,7.048192771,3.155080214,3.082812607,1.367521368,0.158940397,12.9382716,1.470198675,2.333333333,GPT,UK,stereotype
GPT4.1_103,2nd,281.451747,624,8.666666667,3.104026846,3.164942625,0.961538462,0.232258065,12.80487805,1.561290323,2.357142857,GPT,UK,technology
GPT4.1_103,3rd,218.5760718,572,6.80952381,3.132352941,3.092709484,1.223776224,0.189393939,10.82352941,1.575757576,1.5,GPT,UK,dream
GPT4.1_103,1st,194.7447918,617,7.091954023,3.158783784,3.076228533,0.972447326,0.170731707,11.39325843,1.5,2.76,GPT,UK,stereotype
GPT4.1_104,1st,240.4444444,614,7.487804878,3.15042735,3.130469263,1.140065147,0.193548387,11.20481928,1.490322581,2.068965517,GPT,UK,stereotype
GPT4.1_104,3rd,234.2521436,601,7.070588235,3.179130435,3.091395723,0.665557404,0.235294118,9.677777778,1.654411765,1.730769231,GPT,UK,dream
GPT4.1_104,2nd,177.8934127,622,8.293333333,3.343959732,3.075801475,0.482315113,0.15,11.82926829,1.407142857,2.5,GPT,UK,technology
GPT4.1_105,3rd,272.8581081,621,6.9,3.182124789,3.147620088,1.127214171,0.241134752,10.04040404,1.624113475,2,GPT,UK,dream
GPT4.1_105,1st,237.6647651,638,7.418604651,3.22875817,3.124961003,1.724137931,0.246835443,11.19148936,1.556962025,2.269230769,GPT,UK,stereotype
GPT4.1_105,2nd,215.9437482,646,9.362318841,3.453225806,3.072075602,0.309597523,0.296551724,10.81395349,1.655172414,2.423076923,GPT,UK,technology
GPT4.1_106,2nd,297.21384,583,7.878378378,3.211849192,3.102506135,1.02915952,0.262773723,11.30864198,1.605839416,2.038461538,GPT,UK,technology
GPT4.1_106,1st,250.4442916,635,7.65060241,3.469622332,3.040499738,2.047244094,0.215568862,11.40506329,1.532934132,1.730769231,GPT,UK,stereotype
GPT4.1_106,3rd,230.4301788,600,6.976744186,3.049295775,3.071585104,1,0.228187919,9.705882353,1.604026846,1.75,GPT,UK,dream
