ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
NW_12,1st,74.32873921,563,7.608108108,3.199630314,2.968126743,3.197158082,0.107594937,14.94366197,1.481012658,2.318181818,Nat,US,dream
NW_13,3rd,119.3450226,552,7.774647887,3.098113208,3.093748859,2.717391304,0.24,12.40506329,1.616,2.363636364,Nat,AUS,workplace
NW_13,2nd,84.3655326,569,7.294871795,3.694394213,3.094180296,1.054481547,0.184210526,15.10227273,1.480263158,2.9375,Nat,AUS,technology
NW_13,1st,66.9841629,547,7.391891892,3.396226415,3.069946055,1.645338208,0.244604317,13.81428571,1.589928058,2.647058824,Nat,AUS,dream
NW_14,2nd,111.1737529,586,7.512820513,3.210526316,3.094453761,1.535836177,0.275862069,14.5875,1.6,2.6875,Nat,UK,technology
NW_14,3rd,109.4126418,550,6.962025316,3.461254613,3.130824398,2.727272727,0.210144928,18.02380952,1.644927536,6,Nat,UK,disagreement
NW_14,1st,72.84142135,545,6.264367816,3.311567164,3.077557348,2.568807339,0.176470588,16.61538462,1.419117647,4.444444444,Nat,UK,stereotype
NW_15,1st,50.06101113,787,6.296,3.292942743,3.075000489,0.508259212,0.153465347,10.29411765,1.430693069,1.527777778,Nat,US,dream
NW_15,3rd,44.89905854,546,7.28,2.850775194,3.012983053,0.915750916,0.167785235,10.38356164,1.536912752,1.666666667,Nat,US,workplace
NW_15,2nd,43.33333333,722,7.22,3.24602026,3.005574772,1.246537396,0.129353234,13.28125,1.432835821,2.419354839,Nat,US,stereotype
NW_16,1st,86.30179673,541,9.016666667,3.220306513,3.055861928,2.772643253,0.205479452,14.2972973,1.609589041,3.105263158,Nat,AUS,technology
NW_16,2nd,54.07510269,541,7.513888889,3.036750484,3.022732043,1.663585952,0.205298013,12.85714286,1.523178808,2.166666667,Nat,AUS,stereotype
NW_16,3rd,50.6131637,595,6.397849462,3.720689655,2.973913406,2.18487395,0.194630872,14.1047619,1.597315436,2.466666667,Nat,AUS,workplace
NW_17,1st,91.99941503,534,6.935064935,3.131630648,3.105700088,0.936329588,0.206666667,13.50632911,1.626666667,2.2,Nat,CAN,stereotype
NW_17,3rd,89.6308933,593,6.816091954,3.008944544,2.983837503,3.035413153,0.360946746,11.09638554,1.798816568,1.558823529,Nat,CAN,disagreement
NW_17,2nd,70.90586309,557,6.630952381,2.700772201,3.052862114,2.154398564,0.196078431,9.886363636,1.594771242,1.333333333,Nat,CAN,technology
NW_18,2nd,103.5087453,830,7.685185185,3.298865069,2.98782146,2.530120482,0.142857143,12.40178571,1.528571429,2.189189189,Nat,UK,stereotype
NW_18,3rd,93.2207387,693,9.76056338,3.517964072,2.99682547,3.463203463,0.189349112,13.01149425,1.603550296,3.36,Nat,UK,workplace
NW_18,1st,69.47017619,587,8.893939394,3.134408602,3.019123688,2.555366269,0.111111111,11.71590909,1.534722222,1.827586207,Nat,UK,dream
NW_19,1st,82.2917086,570,7.125,2.921641791,3.036876686,1.228070175,0.197368421,8.416666667,1.618421053,1.411764706,Nat,UK,dream
NW_19,2nd,75.59585199,541,7.118421053,3.087719298,3.116068479,0.369685767,0.1625,10.17948718,1.45,1.571428571,Nat,UK,stereotype
NW_19,3rd,74.28613727,711,7.03960396,3.362573099,2.973401262,1.406469761,0.146892655,12.5045045,1.627118644,2.407407407,Nat,UK,workplace
NW_20,3rd,141.8759881,636,8.594594595,3.006535948,3.172349708,4.716981132,0.375,12.8625,1.681818182,2.958333333,Nat,CAN,disagreement
NW_20,1st,90.66666667,573,8.185714286,3.120218579,3.069889658,0.698080279,0.236486486,12.70786517,1.682432432,2.291666667,Nat,CAN,technology
NW_20,2nd,66.55100825,787,7.287037037,3.095238095,3.05501478,1.397712834,0.229665072,12.66956522,1.626794258,2.774193548,Nat,CAN,dream
NW_21,1st,71.70944603,547,7.597222222,2.691262136,3.06663521,2.193784278,0.083916084,11.3974359,1.405594406,1.625,Nat,AUS,dream
NW_21,2nd,69.65561606,558,6.975,2.928166352,3.048352073,1.254480287,0.227586207,11.25555556,1.565517241,1.551724138,Nat,AUS,technology
NW_21,3rd,68.62101064,541,8.074626866,3.170212766,3.0249259,2.218114603,0.197080292,14.4109589,1.605839416,2.666666667,Nat,AUS,workplace
NW_22,3rd,90.38734829,544,8.634920635,3.308571429,3.01861527,1.470588235,0.145695364,13.58441558,1.470198675,2.684210526,Nat,UK,disagreement
NW_22,1st,79.78986273,554,8.147058824,3.282771536,3.083251384,2.707581227,0.201298701,12.79518072,1.493506494,2.4,Nat,UK,stereotype
NW_22,2nd,67.85724362,554,8.028985507,2.986767486,3.08155761,1.805054152,0.201388889,13.18181818,1.590277778,2.08,Nat,UK,dream
NW_23,2nd,107.747807,618,7.82278481,3.346801347,3.052201598,1.618122977,0.231292517,14.19230769,1.605442177,2.333333333,Nat,UK,technology
NW_23,1st,100.8481136,758,9.023809524,3.750339213,3.128036509,1.319261214,0.325581395,15.06122449,1.755813953,3.19047619,Nat,UK,dream
NW_23,3rd,89.22237602,665,7.556818182,3.419003115,3.105882188,2.556390977,0.265306122,11.47619048,1.802721088,1.739130435,Nat,UK,workplace
NW_24,3rd,98.68388168,794,8.18556701,3.588541667,3.083307993,1.385390428,0.162679426,12.39215686,1.502392344,2.461538462,Nat,UK,disagreement
NW_24,2nd,87.73869246,669,7.433333333,3.574102964,2.999835817,2.092675635,0.13836478,11.04597701,1.490566038,1.571428571,Nat,UK,stereotype
NW_24,1st,53.75019128,708,7.452631579,3.332846715,3.052519658,0.988700565,0.118226601,11.51086957,1.443349754,2.173913043,Nat,UK,dream
NW_25,3rd,89.10516605,587,6.450549451,2.803956835,3.043001192,0.681431005,0.092105263,11.88235294,1.348684211,1.548387097,Nat,UK,disagreement
NW_25,2nd,52.35003815,542,7.226666667,4.058380414,3.070848087,1.47601476,0.222929936,23.47761194,1.496815287,4,Nat,UK,stereotype
NW_25,1st,49.23197421,555,5.842105263,2.973634652,3.058344417,0.900900901,0.204545455,12.21590909,1.454545455,1.583333333,Nat,UK,technology
NW_26,1st,87.44829734,583,7.671052632,3.324955117,3.075296623,3.087478559,0.18125,10.5,1.48125,1.653846154,Nat,UK,dream
NW_26,2nd,76.92226313,541,7.955882353,3.208092486,3.10524,2.772643253,0.219858156,12.69620253,1.496453901,2.090909091,Nat,UK,technology
NW_26,3rd,73.07220217,561,7.684931507,3.165735568,3.051398582,1.069518717,0.201388889,11.90277778,1.555555556,2.083333333,Nat,UK,workplace
NW_27,3rd,86.50941176,573,8.426470588,3.642218247,3.04420339,1.570680628,0.188976378,15.69230769,1.590551181,3.071428571,Nat,UK,workplace
NW_27,1st,73.62609913,568,7.376623377,3.60291439,2.955343983,0.528169014,0.120805369,12.82758621,1.456375839,2.473684211,Nat,UK,technology
NW_27,2nd,72.32042456,595,8.040540541,3.347826087,3.036476066,1.848739496,0.118012422,13.54651163,1.428571429,2.6,Nat,UK,dream
NW_28,3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nat,AUS,NA
NW_28,1st,79.71188811,914,8.462962963,3.009111617,3.095514669,2.078774617,0.287449393,13.7745098,1.659919028,2.638888889,Nat,AUS,stereotype
NW_28,2nd,62.95289855,685,8.058823529,3.246616541,3.074825109,2.919708029,0.304093567,13.60493827,1.69005848,3.45,Nat,AUS,dream
NW_29,1st,76.33689766,539,8.166666667,3.120155039,2.97509125,1.669758813,0.32,10.7195122,1.792,1.739130435,Nat,UK,dream
NW_29,2nd,65.74358749,535,8.770491803,3.254368932,2.980835929,1.682242991,0.338582677,15.15942029,1.787401575,3.1,Nat,UK,technology
NW_29,3rd,65.53209498,522,8.7,3.381422925,3.018944868,2.681992337,0.248062016,15.09210526,1.674418605,3.25,Nat,UK,workplace
NW_30,3rd,108.0361669,602,8.478873239,3.12390925,3.003062218,1.827242525,0.272727273,13.07462687,1.734848485,1.965517241,Nat,NZ,workplace
NW_30,1st,64.14898028,617,7.524390244,3.006837607,3.085959668,1.620745543,0.298611111,11.55555556,1.75,1.625,Nat,NZ,stereotype
NW_30,2nd,60.83505715,785,7.548076923,3.387483356,3.068105634,2.420382166,0.233333333,12.2,1.638888889,1.852941176,Nat,NZ,dream
NW_31,3rd,82.63159605,585,6.573033708,2.949275362,3.04510755,2.051282051,0.190789474,10.02352941,1.638157895,1.484848485,Nat,NZ,workplace
NW_31,1st,78.94943987,613,6.191919192,2.836236934,2.985084391,2.936378467,0.152046784,9.805825243,1.485380117,1.487179487,Nat,NZ,dream
NW_31,2nd,74.82900943,585,6.964285714,2.858195212,2.997474029,1.88034188,0.303225806,9.985915493,1.64516129,1.238095238,Nat,NZ,technology
NW_32,1st,78.94663512,535,7.867647059,2.850980392,3.105237737,1.682242991,0.204545455,13.10606061,1.583333333,2.56,Nat,NZ,technology
NW_32,3rd,68.33375452,547,7.927536232,3.049808429,3.051503819,5.667276051,0.282894737,14.88333333,1.809210526,2.52,Nat,NZ,disagreement
NW_32,2nd,53.5502258,531,6.986842105,3.145383104,3.038772062,2.824858757,0.168918919,12.55714286,1.540540541,2.909090909,Nat,NZ,stereotype
NW_33,1st,88.34220374,705,8.197674419,2.771084337,2.953625988,1.843971631,0.312169312,10.63157895,1.73015873,1.609756098,Nat,NZ,stereotype
NW_33,2nd,74.4111346,891,7.303278689,2.810096154,3.006257313,1.571268238,0.237288136,9.821138211,1.648305085,1.423728814,Nat,NZ,technology
NW_33,3rd,68.43549109,624,7.341176471,3.120603015,3.088297573,1.602564103,0.394366197,11.86904762,1.852112676,2.185185185,Nat,NZ,workplace
NW_34,1st,63.6354362,616,7.7,3.347457627,3.025166943,1.461038961,0.146496815,12.45454545,1.566878981,2.230769231,Nat,CAN,dream
NW_34,2nd,63.31640649,605,8.175675676,3.578767123,3.030611261,0.495867769,0.241610738,15.57894737,1.516778523,2.80952381,Nat,CAN,stereotype
NW_34,3rd,55.90214704,638,7.088888889,3.236928105,3.016275467,1.097178683,0.272727273,14.40659341,1.643939394,1.576923077,Nat,CAN,workplace
NW_35,2nd,95.48109061,581,8.183098592,3.629432624,3.063592192,0.860585198,0.154362416,16.45783133,1.570469799,3.647058824,Nat,US,stereotype
NW_35,1st,93.40886469,567,7.269230769,3.696914701,3.081037182,0.529100529,0.195652174,14.52380952,1.652173913,3.1875,Nat,US,technology
NW_35,3rd,51.33920188,561,6.523255814,2.823529412,3.005040294,2.495543672,0.118881119,10.19753086,1.629370629,1.058823529,Nat,US,disagreement
NW_36,3rd,81.94017559,575,7.876712329,3.225402504,3.154475452,2.782608696,0.221374046,13.90789474,1.679389313,3.25,Nat,NZ,workplace
NW_36,2nd,79.4770798,625,8.680555556,3.411570248,3.007187561,2.88,0.192546584,12.82857143,1.701863354,2.8,Nat,NZ,stereotype
NW_36,1st,60.36313321,618,7.445783133,3.188019967,3.112658262,2.103559871,0.299319728,11.8021978,1.68707483,3,Nat,NZ,dream
NW_37,1st,89.16174718,569,8.890625,3.235934664,3.07024352,0.878734622,0.404761905,12.25,1.80952381,2.777777778,Nat,UK,stereotype
NW_37,3rd,61.2725737,517,9.070175439,3.695652174,3.042707922,2.321083172,0.348837209,17.61038961,1.76744186,3.272727273,Nat,UK,disagreement
NW_37,2nd,59.39706864,554,8.268656716,3.496296296,3.132928453,1.263537906,0.407079646,10.59259259,1.92920354,2.142857143,Nat,UK,dream
NW_38,3rd,96.67168675,602,6.764044944,3.178130511,3.109915321,2.657807309,0.284722222,12.01162791,1.708333333,1.085714286,Nat,NZ,workplace
NW_38,1st,90.95572588,596,6.47826087,2.815602837,3.029156651,0.838926174,0.245033113,10.69565217,1.622516556,1.40625,Nat,NZ,stereotype
NW_38,2nd,74.58775567,623,6.698924731,2.998284734,3.016959957,0.802568218,0.203947368,10,1.486842105,1.2,Nat,NZ,dream
NW_39,2nd,132.4735637,569,9.177419355,3.55353902,3.068099109,2.284710018,0.372262774,12.11290323,1.832116788,3,Nat,NZ,technology
NW_39,1st,89.31967213,565,6.890243902,3.270220588,3.083482757,2.300884956,0.174193548,11.18604651,1.587096774,2,Nat,NZ,dream
NW_39,3rd,88.53597115,700,8.974358974,3.484536082,3.01954282,2.571428571,0.242424242,11.77631579,1.775757576,3.428571429,Nat,NZ,disagreement
NW_40,2nd,108.0250261,558,8.086956522,2.929104478,3.080779724,3.046594982,0.246268657,12.4,1.679104478,2.818181818,Nat,UK,stereotype
NW_40,1st,81.08402438,559,9.474576271,2.99249531,3.011221741,1.431127013,0.356060606,11.734375,1.871212121,2.5,Nat,UK,technology
NW_40,3rd,61.44150943,562,7.698630137,3.358070501,3.007739892,2.135231317,0.251908397,13.26190476,1.557251908,2.47826087,Nat,UK,workplace
NW_41,1st,97.03246819,567,7.363636364,3.479779412,2.967437957,1.234567901,0.135338346,12.11392405,1.398496241,1.956521739,Nat,NZ,dream
NW_41,2nd,85.19323458,568,7.675675676,3.226277372,2.978383941,0.528169014,0.096296296,13.77380952,1.444444444,2.5,Nat,NZ,technology
NW_41,3rd,72.35257354,589,7.853333333,3.554385965,2.983362005,1.188455008,0.117241379,13.97727273,1.427586207,2.368421053,Nat,NZ,workplace
NW_42,3rd,78.834299,554,7.012658228,3.224105461,3.043844318,2.166064982,0.159722222,11.40789474,1.520833333,1.913043478,Nat,US,workplace
NW_42,2nd,63.7262024,548,7.306666667,2.711500975,3.034471772,2.919708029,0.232876712,10.95081967,1.595890411,1.428571429,Nat,US,technology
NW_42,1st,59.29935286,553,7.788732394,2.708737864,2.937381255,3.978300181,0.241134752,9.158730159,1.687943262,1.552631579,Nat,US,dream
NW_43,1st,90.69566063,565,7.739726027,2.871985158,3.108067636,1.415929204,0.189393939,10.36781609,1.575757576,2.038461538,Nat,CAN,technology
NW_43,3rd,76.25280899,726,6.849056604,3.441260745,3.097219443,1.790633609,0.158823529,12.47413793,1.535294118,1.714285714,Nat,CAN,disagreement
NW_43,2nd,66.72520661,590,7.564102564,3.111702128,3.04122537,2.542372881,0.233766234,13.2875,1.564935065,2.269230769,Nat,CAN,dream
NW_44,1st,104.8,597,8.178082192,2.941281139,3.023948332,2.177554439,0.303448276,9.837837838,1.8,1.428571429,Nat,CAN,dream
NW_44,3rd,97.72548301,620,6.966292135,3.035897436,3.060337809,0.483870968,0.225165563,10.47191011,1.57615894,1.542857143,Nat,CAN,workplace
NW_44,2nd,92.51463606,674,7.020833333,2.95562599,3.025126137,1.335311573,0.209302326,10.28125,1.51744186,1.069767442,Nat,CAN,technology
NW_45,1st,118.6875134,602,7.620253165,3.096322242,3.012962871,2.657807309,0.183431953,11.12857143,1.49704142,1.709677419,Nat,AUS,stereotype
NW_45,2nd,106.7066319,603,6.7,2.905525847,3.030921893,1.326699834,0.175324675,8.205128205,1.519480519,1,Nat,AUS,dream
NW_45,3rd,90.405862,639,6.65625,3.111295681,2.93024294,2.034428795,0.179487179,9.402061856,1.519230769,1.135135135,Nat,AUS,disagreement
NW_46,2nd,96.7826087,581,8.420289855,3.46557971,3.034459579,2.237521515,0.155844156,11.93333333,1.545454545,1.862068966,Nat,NZ,stereotype
NW_46,1st,90.71140441,629,9.115942029,3.294019934,3.017866806,0.79491256,0.277027027,12.24615385,1.743243243,2.407407407,Nat,NZ,technology
NW_46,3rd,90.01086957,557,7.630136986,3.276635514,3.024171833,2.692998205,0.191780822,13.30645161,1.630136986,2.181818182,Nat,NZ,disagreement
NW_47,2nd,92.50064858,553,10.05454545,3.030188679,2.969221919,2.712477396,0.238410596,14.640625,1.675496689,2.652173913,Nat,UK,technology
NW_47,3rd,81.01047514,585,8.01369863,3.46714032,3.08896439,1.025641026,0.230769231,13.03658537,1.601398601,2.454545455,Nat,UK,disagreement
NW_47,1st,65.93755419,582,9.09375,3.128390597,3.023492985,2.06185567,0.390410959,10.16071429,1.746575342,2,Nat,UK,stereotype
NW_48,2nd,86.03932519,568,7.1,2.937969925,3.063691178,2.816901408,0.257352941,9.886075949,1.544117647,1.583333333,Nat,US,stereotype
NW_48,1st,73.42657024,554,8.268656716,2.957692308,3.066312663,2.166064982,0.392857143,10.60273973,1.757142857,1.411764706,Nat,US,dream
NW_48,3rd,68.51882951,630,7,2.805792164,3.067751725,1.428571429,0.185393258,9.487804878,1.494382022,0.906976744,Nat,US,disagreement
NW_49,3rd,123.7342108,645,7.010869565,3.162601626,3.006824196,3.410852713,0.162337662,9.722772277,1.454545455,1.433333333,Nat,UK,disagreement
NW_49,2nd,115.7921027,597,7.556962025,3.08348135,2.980656999,1.842546064,0.144654088,9.915662651,1.364779874,1.5,Nat,UK,stereotype
NW_49,1st,96.00282165,644,7.666666667,3.090609555,3.047357389,2.48447205,0.25748503,11.63636364,1.574850299,1.486486486,Nat,UK,dream
NW_50,3rd,60.83057486,586,7.813333333,2.890710383,3.005762338,1.023890785,0.2,8.52173913,1.572413793,1.27027027,Nat,AUS,workplace
NW_50,1st,60.19235439,595,6.761363636,2.994565217,3.035937141,3.529411765,0.166666667,9.718309859,1.72,1.046511628,Nat,AUS,dream
NW_50,2nd,44.42101227,590,5.566037736,2.823956443,2.96409622,2.881355932,0.144736842,10.3877551,1.460526316,0.846153846,Nat,AUS,stereotype
NW_51,1st,99.76153846,562,8.515151515,3.3,3.044060165,4.62633452,0.325757576,12.9625,1.810606061,3,Nat,AUS,technology
NW_51,2nd,90.839556,604,7.64556962,3.012131716,3.103732741,4.304635762,0.217948718,10.14634146,1.634615385,2.074074074,Nat,AUS,dream
NW_51,3rd,82.1743557,605,6.954022989,2.926186292,3.009246916,4.297520661,0.248275862,8.93902439,1.6,1.333333333,Nat,AUS,disagreement
NW_52,3rd,120.4188731,593,6.895348837,2.951612903,3.061995327,1.180438449,0.201492537,10.10126582,1.582089552,1.285714286,Nat,AUS,workplace
NW_52,1st,100.8994475,607,7.49382716,2.871252205,3.012481959,2.306425041,0.197080292,9.4,1.540145985,1,Nat,AUS,technology
NW_52,2nd,77.85714286,631,6.858695652,3.045454545,3.031679278,0.792393027,0.109677419,10.18421053,1.412903226,1.216216216,Nat,AUS,stereotype
NW_53,1st,128.7258012,945,10.98837209,3.561269147,3.05354624,3.068783069,0.259090909,13.27380952,1.690909091,2.935483871,Nat,AUS,stereotype
NW_53,2nd,124.0185351,981,8.758928571,4.371607516,3.103284165,2.44648318,0.292372881,15.34259259,1.766949153,3.565217391,Nat,AUS,dream
NW_53,3rd,117.9448754,983,10.45744681,3.976041667,3.060588432,1.932858596,0.35,13.62886598,1.85,4.52173913,Nat,AUS,disagreement
NW_54,1st,106.0419809,584,6.952380952,2.617810761,3.044174961,1.02739726,0.262820513,9.388888889,1.666666667,1.133333333,Nat,US,technology
NW_54,3rd,99.56781581,598,7.868421053,2.7625,2.995775627,2.173913043,0.232394366,9.927710843,1.718309859,1.342105263,Nat,US,workplace
NW_54,2nd,84.59296724,599,7.582278481,2.772313297,2.950494271,1.83639399,0.272727273,7.831168831,1.694805195,1.24,Nat,US,stereotype
NW_55,3rd,87.9838081,546,8.4,3.080305927,3.104791504,1.648351648,0.204724409,12.56716418,1.614173228,2.217391304,Nat,AUS,disagreement
NW_55,1st,87.67291915,689,7.177083333,3.23556231,3.029906903,1.015965167,0.133333333,11.09782609,1.435897436,2.032258065,Nat,AUS,stereotype
NW_55,2nd,69.33588861,695,7.637362637,3.148425787,3.055944194,2.302158273,0.168421053,13.32291667,1.473684211,2.5,Nat,AUS,dream
NW_56,1st,83.75023474,532,8.184615385,2.874015748,3.06534759,0.563909774,0.173913043,12.75714286,1.485507246,2.166666667,Nat,AUS,technology
NW_56,3rd,82.21768236,538,6.810126582,3.209615385,3.140266482,5.204460967,0.262411348,11.45333333,1.624113475,2.555555556,Nat,AUS,disagreement
NW_56,2nd,74.57176777,534,6.675,2.765748031,3.001730254,1.123595506,0.237762238,9.965116279,1.601398601,2.115384615,Nat,AUS,dream
NW_57,1st,93.59553446,1354,7.872093023,3.119844358,3.05209104,1.550960118,0.188732394,11.26347305,1.552112676,1.565217391,Nat,US,stereotype
NW_57,3rd,82.15379931,1295,7.076502732,3.085365854,3.062879769,1.698841699,0.275316456,11.18902439,1.632911392,1.507692308,Nat,US,workplace
NW_57,2nd,77.63807535,1637,7.985365854,3.195402299,3.057072267,1.588271228,0.268456376,11.25118483,1.617449664,2.098591549,Nat,US,technology
NW_58,3rd,96.35736138,555,5.967741935,2.971751412,3.04750743,1.081081081,0.184615385,12.48958333,1.476923077,1.875,Nat,NZ,workplace
NW_58,1st,89.5658491,561,7.791666667,3.545119705,3.096344729,1.426024955,0.169811321,14.29487179,1.566037736,3.277777778,Nat,NZ,stereotype
NW_58,2nd,62.59054767,578,5.838383838,3.086330935,3.064117308,2.076124567,0.206666667,9.930693069,1.626666667,2.090909091,Nat,NZ,dream
NW_59,2nd,142.5735115,731,8.702380952,3.272988506,2.993117586,4.377564979,0.331578947,11.37804878,1.8,1.685714286,Nat,CAN,stereotype
NW_59,3rd,127.2844604,713,6.601851852,3.11509716,2.991136213,0.701262272,0.198717949,8.805825243,1.519230769,0.954545455,Nat,CAN,workplace
NW_59,1st,97.61889189,664,6.323809524,2.779967159,2.973938326,0.903614458,0.126436782,8.742574257,1.494252874,0.763636364,Nat,CAN,dream
NW_60,2nd,91.47889836,543,8.353846154,4.125703565,3.074317987,1.473296501,0.330882353,18.28915663,1.669117647,5.2,Nat,NZ,technology
NW_60,3rd,67.05263707,602,8.985074627,4.41722973,3.101019817,0.996677741,0.185897436,20.26829268,1.711538462,5.9,Nat,NZ,disagreement
NW_60,1st,65.22101435,598,9.34375,3.351535836,3.00800136,2.173913043,0.228571429,20.88372093,1.642857143,4.666666667,Nat,NZ,dream
NW_61,1st,133.6225333,546,8.806451613,3.394686907,3.024018763,3.113553114,0.358108108,14.62318841,1.797297297,3.315789474,Nat,AUS,technology
NW_61,3rd,127.3197431,555,9.910714286,3.220973783,3.043931802,3.063063063,0.357664234,13.92982456,1.839416058,3.19047619,Nat,AUS,workplace
NW_61,2nd,97.2475226,554,10.8627451,3.634191176,3.043249975,3.068592058,0.322580645,15.76785714,1.741935484,6.1,Nat,AUS,stereotype
NW_62,1st,80.36853189,547,8.164179104,3.422053232,3.112551186,1.828153565,0.246031746,14,1.698412698,2.761904762,Nat,AUS,dream
NW_62,3rd,79.97625248,538,7.472222222,3.247104247,3.064617499,1.301115242,0.240310078,12.59259259,1.682170543,2.45,Nat,AUS,workplace
NW_62,2nd,66.13767118,545,7.898550725,3.295238095,3.058485285,0.550458716,0.121428571,13.325,1.435714286,3.05,Nat,AUS,stereotype
NW_63,3rd,92.22103762,604,8.507042254,3.313253012,3.026875892,2.98013245,0.324137931,12.56666667,1.786206897,2.086956522,Nat,NZ,workplace
NW_63,2nd,83.90245718,638,7.686746988,3.358428805,3.098177577,1.567398119,0.268456376,11.40206186,1.657718121,1.962962963,Nat,NZ,technology
NW_63,1st,75.7545428,664,8.197530864,3.490625,3.02575523,1.807228916,0.170454545,14.79069767,1.488636364,2.666666667,Nat,NZ,stereotype
NW_64,1st,103.0031583,557,8.569230769,3.013133208,3.116886391,1.256732496,0.270833333,11.63934426,1.673611111,2.083333333,Nat,CAN,stereotype
NW_64,3rd,100.1133212,593,6.816091954,3.026455026,3.01190989,1.349072513,0.103896104,12.70588235,1.396103896,1.5,Nat,CAN,disagreement
NW_64,2nd,70.88333741,605,7.756410256,2.860869565,3.087734374,1.32231405,0.290780142,10.75,1.709219858,1.866666667,Nat,CAN,dream
NW_65,1st,79.45657568,556,7.722222222,2.856870229,3.063152178,3.417266187,0.289855072,11.27118644,1.702898551,1.4375,Nat,NZ,technology
NW_65,2nd,79.10875047,600,6.741573034,2.904761905,3.064961958,1.333333333,0.151898734,10.22340426,1.5,1.303030303,Nat,NZ,dream
NW_65,3rd,59.17936875,575,7.1875,3.217785844,3.053581219,4.173913043,0.248366013,12.85185185,1.784313725,2.25,Nat,NZ,disagreement
NW_66,3rd,105.2949564,594,7.815789474,3.777192982,2.99965779,2.02020202,0.185185185,12.65079365,1.6,1.791666667,Nat,NZ,disagreement
NW_66,1st,96.38019802,568,8.875,3.447897623,3.025339592,1.76056338,0.219858156,12.93442623,1.588652482,2.19047619,Nat,NZ,technology
NW_66,2nd,89.39460991,580,7.945205479,3.786096257,3.007937138,2.413793103,0.19858156,12.93506494,1.524822695,2.263157895,Nat,NZ,stereotype
NW_67,3rd,79.7415066,571,6.344444444,2.59469697,3.016130203,1.22591944,0.183673469,7.947368421,1.571428571,1.186046512,Nat,NZ,disagreement
NW_67,1st,62.14084417,624,6,2.48312611,2.912730916,0.480769231,0.144827586,7.873563218,1.503448276,0.524590164,Nat,NZ,technology
NW_67,2nd,61.12173528,598,6.571428571,2.775583483,2.965276358,1.672240803,0.152439024,10.07594937,1.396341463,1.12195122,Nat,NZ,stereotype
NW_68,3rd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nat,NZ,NA
NW_68,1st,87.18891249,555,6.235955056,2.636893204,3.012056194,1.081081081,0.184210526,8.550561798,1.467105263,1.075,Nat,NZ,technology
NW_68,2nd,86.60810811,569,7.586666667,2.828358209,3.132985687,1.230228471,0.353383459,10.63636364,1.676691729,1.606060606,Nat,NZ,stereotype
NW_69,3rd,99.63283694,576,7.578947368,3.494642857,3.040456103,2.951388889,0.184210526,14.78666667,1.552631579,4.75,Nat,CAN,disagreement
NW_69,1st,79.23461987,625,7.62195122,3.459637562,3.066054954,2.56,0.201257862,11.92391304,1.647798742,3.333333333,Nat,CAN,technology
NW_69,2nd,65.98960971,559,7.075949367,4.153564899,3.005454305,2.325581395,0.142857143,15.03658537,1.496240602,4.083333333,Nat,CAN,dream
NW_70,1st,65.10620165,573,5.96875,2.627599244,3.046077434,0,0.067484663,9.172043011,1.288343558,0.931818182,Nat,CAN,stereotype
NW_70,3rd,55.95673747,602,5.96039604,2.658273381,3.006629424,0.49833887,0.087209302,8.747126437,1.354651163,0.956521739,Nat,CAN,disagreement
NW_70,2nd,51.74806139,608,6.681318681,2.527173913,3.004675518,1.480263158,0.159509202,8,1.484662577,0.678571429,Nat,CAN,technology
NW_71,1st,92.56283422,526,8.092307692,3.12745098,3.135350214,2.281368821,0.157024793,20.575,1.52892562,3.125,Nat,NZ,stereotype
NW_71,2nd,63.94083486,544,9.220338983,3.480075901,3.030901042,0.919117647,0.111111111,13.5,1.57037037,3.294117647,Nat,NZ,dream
NW_71,3rd,60.30912223,550,7.746478873,3.150943396,3.096035829,1.454545455,0.157142857,14.52173913,1.457142857,2.6,Nat,NZ,disagreement
NW_72,3rd,127.2510638,773,7.808080808,2.955040872,3.006025772,1.552393273,0.212121212,11.18181818,1.606060606,1.615384615,Nat,CAN,disagreement
NW_72,2nd,113.4804469,708,6.679245283,3.631578947,3.022518938,1.129943503,0.204301075,10.60204082,1.505376344,1.279069767,Nat,CAN,dream
NW_72,1st,69.86492891,612,5.513513514,3.086115993,2.951836944,1.307189542,0.111801242,8.99,1.378881988,1.139534884,Nat,CAN,stereotype
NW_73,2nd,128.90625,586,8.878787879,3.110915493,3.040796979,2.730375427,0.35443038,15.82051282,1.841772152,3.444444444,Nat,AUS,dream
NW_73,3rd,121.0691158,541,7.955882353,3.090211132,3.064073187,4.805914972,0.432624113,14.15151515,1.914893617,2.7,Nat,AUS,disagreement
NW_73,1st,98.38486904,550,10.57692308,3.546992481,2.944653164,4,0.383116883,13.4516129,1.876623377,3.388888889,Nat,AUS,technology
NW_74,2nd,72.37093333,601,7.329268293,2.874113475,3.030672951,2.329450915,0.201342282,9.573529412,1.536912752,1.27027027,Nat,AUS,dream
NW_74,3rd,67.63392857,548,6.85,2.675728155,2.981244899,0.729927007,0.16025641,8.855072464,1.461538462,1.757575758,Nat,AUS,disagreement
