,Condition,Variety,Type,Frequency
1067,Phr,NZ,Low,5
1068,Nat,NZ,High,2
1069,Nat,NZ,Mid,2
1070,Nat,NZ,Low,3
1071,Sty,AUS,High,40
1072,Sty,AUS,Mid,7
1073,Sty,AUS,Low,6
1074,Nat,AUS,High,21
1075,Nat,AUS,Mid,8
1076,Nat,AUS,Low,1
1080,Par,NZ,High,7
1081,Par,NZ,Mid,5
1082,Par,NZ,Low,1
1083,Nat,NZ,High,8
1084,Nat,NZ,Mid,1
1085,Nat,NZ,Low,0
1086,Phr,US,High,11
1087,Phr,US,Mid,3
1088,Phr,US,Low,2
1089,Nat,US,High,13
1090,Nat,US,Mid,7
1091,Nat,US,Low,4
1092,Sty,NZ,High,7
1093,Sty,NZ,Mid,12
1094,Sty,NZ,Low,7
1095,Nat,NZ,High,19
1096,Nat,NZ,Mid,6
1097,Nat,NZ,Low,3
1098,Sty,NZ,High,11
1099,Sty,NZ,Mid,5
1100,Sty,NZ,Low,5
1101,Nat,NZ,High,17
1102,Nat,NZ,Mid,2
1103,Nat,NZ,Low,1
1104,Phr,NZ,High,10
1105,Phr,NZ,Mid,4
1106,Phr,NZ,Low,5
1107,Nat,NZ,High,18
1108,Nat,NZ,Mid,7
1109,Nat,NZ,Low,4
1110,Nat,UK,High,28
1111,Nat,UK,Mid,13
1112,Nat,UK,Low,11
1113,Phr,NZ,High,12
1114,Phr,NZ,Mid,6
1115,Phr,NZ,Low,6
1116,Nat,NZ,High,18
1117,Nat,NZ,Mid,5
1118,Nat,NZ,Low,1
1119,Sty,NZ,High,11
1120,Sty,NZ,Mid,3
1121,Sty,NZ,Low,3
1122,Nat,NZ,High,19
1123,Nat,NZ,Mid,4
1124,Nat,NZ,Low,5
1125,Sty,AUS,High,13
1126,Sty,AUS,Mid,8
1127,Sty,AUS,Low,2
1128,Nat,AUS,High,16
1129,Nat,AUS,Mid,2
1130,Nat,AUS,Low,6
1131,Phr,CAN,High,16
1132,Phr,CAN,Mid,2
1133,Phr,CAN,Low,3
1134,Nat,CAN,High,19
1135,Nat,CAN,Mid,8
1136,Nat,CAN,Low,9
1137,Phr,AUS,High,15
1138,Phr,AUS,Mid,5
1139,Phr,AUS,Low,1
1140,Nat,AUS,High,10
1141,Nat,AUS,Mid,9
1142,Nat,AUS,Low,1
1143,Sty,NZ,High,15
1144,Sty,NZ,Mid,7
1145,Sty,NZ,Low,0
1146,Nat,NZ,High,11
1147,Nat,NZ,Mid,10
1148,Nat,NZ,Low,1
1149,Nat,NZ,High,15
1150,Nat,NZ,Mid,6
1151,Nat,NZ,Low,4
1152,Nat,US,High,23
1153,Nat,US,Mid,11
1154,Nat,US,Low,5
1155,Phr,CAN,High,11
1156,Phr,CAN,Mid,3
1157,Phr,CAN,Low,3
1158,Nat,CAN,High,10
1159,Nat,CAN,Mid,3
1160,Nat,CAN,Low,1
1161,Nat,CAN,High,44
1162,Nat,CAN,Mid,5
1163,Nat,CAN,Low,4
1164,Nat,CAN,High,22
1165,Nat,CAN,Mid,6
1166,Nat,CAN,Low,9
1167,Sty,UK,High,14
1168,Sty,UK,Mid,5
1169,Sty,UK,Low,2
1170,Nat,UK,High,6
1171,Nat,UK,Mid,4
1172,Nat,UK,Low,6
1173,Phr,CAN,High,23
1174,Phr,CAN,Mid,9
1175,Phr,CAN,Low,4
1176,Nat,CAN,High,15
1177,Nat,CAN,Mid,10
1178,Nat,CAN,Low,3
1179,Nat,AUS,High,24
1180,Nat,AUS,Mid,21
1181,Nat,AUS,Low,8
1185,Par,CAN,High,22
1186,Par,CAN,Mid,6
1187,Par,CAN,Low,1
1188,Nat,CAN,High,10
1189,Nat,CAN,Mid,5
1190,Nat,CAN,Low,4
1194,Par,US,High,8
1195,Par,US,Mid,8
1196,Par,US,Low,6
1197,Nat,US,High,11
1198,Nat,US,Mid,3
1199,Nat,US,Low,1
1200,Phr,NZ,High,19
1201,Phr,NZ,Mid,6
1202,Phr,NZ,Low,2
1203,Nat,NZ,High,26
1204,Nat,NZ,Mid,5
1205,Nat,NZ,Low,2
1206,Sty,US,High,15
1207,Sty,US,Mid,9
1208,Sty,US,Low,5
1209,Nat,US,High,8
1210,Nat,US,Mid,7
1211,Nat,US,Low,4
1215,Par,CAN,High,18
1216,Par,CAN,Mid,6
1217,Par,CAN,Low,3
1218,Nat,CAN,High,12
1219,Nat,CAN,Mid,7
1220,Nat,CAN,Low,6
1221,Par,US,High,15
1222,Par,US,Mid,10
1223,Par,US,Low,1
1224,Nat,US,High,21
1225,Nat,US,Mid,8
1226,Nat,US,Low,5
1227,Phr,UK,High,13
1228,Phr,UK,Mid,0
1229,Phr,UK,Low,7
1230,Nat,UK,High,7
1231,Nat,UK,Mid,8
1232,Nat,UK,Low,0
1233,Sty,NZ,High,17
1234,Sty,NZ,Mid,8
1235,Sty,NZ,Low,1
1236,Nat,NZ,High,6
1237,Nat,NZ,Mid,10
1238,Nat,NZ,Low,2
1239,Par,NZ,High,23
1240,Par,NZ,Mid,13
1241,Par,NZ,Low,3
1242,Nat,NZ,High,17
1243,Nat,NZ,Mid,9
1244,Nat,NZ,Low,1
1245,Phr,NZ,High,11
1246,Phr,NZ,Mid,8
1247,Phr,NZ,Low,5
1248,Nat,NZ,High,14
1249,Nat,NZ,Mid,17
1250,Nat,NZ,Low,5
1251,Nat,NZ,High,21
1252,Nat,NZ,Mid,9
1253,Nat,NZ,Low,14
1254,Sty,NZ,High,7
1255,Sty,NZ,Mid,4
1256,Sty,NZ,Low,5
1257,Nat,NZ,High,21
1258,Nat,NZ,Mid,9
1259,Nat,NZ,Low,4
1260,Par,AUS,High,14
1261,Par,AUS,Mid,21
1262,Par,AUS,Low,6
1263,Nat,AUS,High,36
1264,Nat,AUS,Mid,6
1265,Nat,AUS,Low,4
1269,Par,UK,High,10
1270,Par,UK,Mid,11
1271,Par,UK,Low,5
1272,Nat,UK,High,19
1273,Nat,UK,Mid,15
1274,Nat,UK,Low,1
1275,Phr,NZ,High,7
1276,Phr,NZ,Mid,2
1277,Phr,NZ,Low,10
1278,Nat,NZ,High,12
1279,Nat,NZ,Mid,3
1280,Nat,NZ,Low,2
1281,Sty,UK,High,13
1282,Sty,UK,Mid,3
1283,Sty,UK,Low,6
1284,Nat,UK,High,7
1285,Nat,UK,Mid,7
1286,Nat,UK,Low,1
1287,Sty,NZ,High,18
1288,Sty,NZ,Mid,4
1289,Sty,NZ,Low,0
1290,Nat,NZ,High,10
1291,Nat,NZ,Mid,7
1292,Nat,NZ,Low,6
1296,Par,UK,High,15
1297,Par,UK,Mid,10
1298,Par,UK,Low,3
1299,Nat,UK,High,21
1300,Nat,UK,Mid,3
1301,Nat,UK,Low,0
1305,Par,UK,High,11
1306,Par,UK,Mid,12
1307,Par,UK,Low,6
1308,Nat,UK,High,19
1309,Nat,UK,Mid,2
1310,Nat,UK,Low,1
1311,Phr,UK,High,13
1312,Phr,UK,Mid,22
1313,Phr,UK,Low,5
1314,Nat,UK,High,11
1315,Nat,UK,Mid,6
1316,Nat,UK,Low,6
1320,Par,US,High,25
1321,Par,US,Mid,8
1322,Par,US,Low,1
1323,Nat,US,High,18
1324,Nat,US,Mid,3
1325,Nat,US,Low,5
1326,Nat,UK,High,21
1327,Nat,UK,Mid,22
1328,Nat,UK,Low,4
1329,Sty,US,High,10
1330,Sty,US,Mid,2
1331,Sty,US,Low,5
1332,Nat,US,High,10
1333,Nat,US,Mid,2
1334,Nat,US,Low,4
1338,Par,US,High,17
1339,Par,US,Mid,15
1340,Par,US,Low,2
1341,Nat,US,High,7
1342,Nat,US,Mid,8
1343,Nat,US,Low,1
1344,Phr,UK,High,5
1345,Phr,UK,Mid,8
1346,Phr,UK,Low,3
1347,Nat,UK,High,9
1348,Nat,UK,Mid,12
1349,Nat,UK,Low,4
1353,Par,UK,High,22
1354,Par,UK,Mid,7
1355,Par,UK,Low,4
1356,Nat,UK,High,13
1357,Nat,UK,Mid,12
1358,Nat,UK,Low,1
1359,Nat,US,High,25
1360,Nat,US,Mid,19
1361,Nat,US,Low,5
1362,Phr,UK,High,12
1363,Phr,UK,Mid,3
1364,Phr,UK,Low,3
1365,Nat,UK,High,11
1366,Nat,UK,Mid,7
1367,Nat,UK,Low,4
1368,Phr,UK,High,9
1369,Phr,UK,Mid,4
1370,Phr,UK,Low,6
1371,Nat,UK,High,4
1372,Nat,UK,Mid,5
1373,Nat,UK,Low,5
1374,Nat,UK,High,34
1375,Nat,UK,Mid,21
1376,Nat,UK,Low,3
1377,Phr,US,High,16
1378,Phr,US,Mid,2
1379,Phr,US,Low,3
1380,Nat,US,High,8
1381,Nat,US,Mid,1
1382,Nat,US,Low,1
1383,Sty,UK,High,10
1384,Sty,UK,Mid,8
1385,Sty,UK,Low,1
1386,Nat,UK,High,12
1387,Nat,UK,Mid,6
1388,Nat,UK,Low,6
1392,Par,AUS,High,28
1393,Par,AUS,Mid,6
1394,Par,AUS,Low,2
1395,Nat,AUS,High,11
1396,Nat,AUS,Mid,2
1397,Nat,AUS,Low,3
1398,Par,AUS,High,23
1399,Par,AUS,Mid,15
1400,Par,AUS,Low,3
1401,Nat,AUS,High,10
1402,Nat,AUS,Mid,4
1403,Nat,AUS,Low,2
1404,Nat,AUS,High,35
1405,Nat,AUS,Mid,10
1406,Nat,AUS,Low,7
1407,Nat,AUS,High,21
1408,Nat,AUS,Mid,16
1409,Nat,AUS,Low,11
1413,Par,AUS,High,9
1414,Par,AUS,Mid,8
1415,Par,AUS,Low,6
1416,Nat,AUS,High,16
1417,Nat,AUS,Mid,8
1418,Nat,AUS,Low,3
1419,Nat,AUS,High,20
1420,Nat,AUS,Mid,8
1421,Nat,AUS,Low,9
1422,Phr,AUS,High,9
1423,Phr,AUS,Mid,7
1424,Phr,AUS,Low,6
1425,Nat,AUS,High,5
1426,Nat,AUS,Mid,8
1427,Nat,AUS,Low,1
1428,Nat,AUS,High,49
1429,Nat,AUS,Mid,27
1430,Nat,AUS,Low,15
1431,Nat,US,High,30
1432,Nat,US,Mid,8
1433,Nat,US,Low,6
1434,Par,AUS,High,13
1435,Par,AUS,Mid,8
1436,Par,AUS,Low,5
1437,Nat,AUS,High,14
1438,Nat,AUS,Mid,8
1439,Nat,AUS,Low,2
1443,Par,AUS,High,13
1444,Par,AUS,Mid,12
1445,Par,AUS,Low,6
1446,Nat,AUS,High,13
1447,Nat,AUS,Mid,13
1448,Nat,AUS,Low,8
1449,Sty,AUS,High,23
1450,Sty,AUS,Mid,5
1451,Sty,AUS,Low,2
1452,Nat,AUS,High,18
1453,Nat,AUS,Mid,7
1454,Nat,AUS,Low,6
1455,Nat,AUS,High,37
1456,Nat,AUS,Mid,6
1457,Nat,AUS,Low,3
1461,Par,UK,High,9
1462,Par,UK,Mid,8
1463,Par,UK,Low,6
1464,Nat,UK,High,15
1465,Nat,UK,Mid,9
1466,Nat,UK,Low,6
1467,Sty,US,High,16
1468,Sty,US,Mid,7
1469,Sty,US,Low,8
1470,Nat,US,High,8
1471,Nat,US,Mid,12
1472,Nat,US,Low,2
1473,Nat,AUS,High,13
1474,Nat,AUS,Mid,10
1475,Nat,AUS,Low,2
1476,Sty,US,High,14
1477,Sty,US,Mid,8
1478,Sty,US,Low,3
1479,Nat,US,High,9
1480,Nat,US,Mid,10
1481,Nat,US,Low,4
1482,Sty,AUS,High,16
1483,Sty,AUS,Mid,6
1484,Sty,AUS,Low,2
1485,Nat,AUS,High,13
1486,Nat,AUS,Mid,4
1487,Nat,AUS,Low,1
1488,Phr,AUS,High,10
1489,Phr,AUS,Mid,5
1490,Phr,AUS,Low,1
1491,Nat,AUS,High,13
1492,Nat,AUS,Mid,6
1493,Nat,AUS,Low,1
1494,Phr,US,High,10
1495,Phr,US,Mid,8
1496,Phr,US,Low,7
1497,Nat,US,High,11
1498,Nat,US,Mid,6
1499,Nat,US,Low,3
1500,Nat,US,High,33
1501,Nat,US,Mid,21
1502,Nat,US,Low,11
1506,Par,AUS,High,20
1507,Par,AUS,Mid,9
1508,Par,AUS,Low,2
1509,Nat,AUS,High,8
1510,Nat,AUS,Mid,15
1511,Nat,AUS,Low,6
1515,Par,AUS,High,16
1516,Par,AUS,Mid,11
1517,Par,AUS,Low,4
1518,Nat,AUS,High,21
1519,Nat,AUS,Mid,10
1520,Nat,AUS,Low,3
1521,Sty,AUS,High,8
1522,Sty,AUS,Mid,8
1523,Sty,AUS,Low,3
1524,Nat,AUS,High,16
1525,Nat,AUS,Mid,5
1526,Nat,AUS,Low,1
1527,Par,US,High,21
1528,Par,US,Mid,19
1529,Par,US,Low,7
1530,Nat,US,High,3
1531,Nat,US,Mid,6
1532,Nat,US,Low,1
1533,Sty,AUS,High,18
1534,Sty,AUS,Mid,7
1535,Sty,AUS,Low,2
1536,Nat,AUS,High,14
1537,Nat,AUS,Mid,9
1538,Nat,AUS,Low,5
1539,Phr,AUS,High,17
1540,Phr,AUS,Mid,4
1541,Phr,AUS,Low,4
1542,Nat,AUS,High,11
1543,Nat,AUS,Mid,11
1544,Nat,AUS,Low,4
1548,Par,AUS,High,10
1549,Par,AUS,Mid,17
1550,Par,AUS,Low,4
1551,Nat,AUS,High,11
1552,Nat,AUS,Mid,14
1553,Nat,AUS,Low,5
1554,Par,UK,High,25
1555,Par,UK,Mid,8
1556,Par,UK,Low,4
1557,Nat,UK,High,10
1558,Nat,UK,Mid,9
1559,Nat,UK,Low,5
1560,Sty,AUS,High,8
1561,Sty,AUS,Mid,6
1562,Sty,AUS,Low,6
1563,Nat,AUS,High,17
1564,Nat,AUS,Mid,4
1565,Nat,AUS,Low,2
1566,Phr,NZ,High,10
1567,Phr,NZ,Mid,11
1568,Phr,NZ,Low,6
1569,Nat,NZ,High,14
1570,Nat,NZ,Mid,3
1571,Nat,NZ,Low,9
1572,Nat,NZ,High,26
1573,Nat,NZ,Mid,10
1574,Nat,NZ,Low,6
1575,Nat,CAN,High,30
1576,Nat,CAN,Mid,21
1577,Nat,CAN,Low,7
1581,Par,US,High,13
1582,Par,US,Mid,8
1583,Par,US,Low,2
1584,Nat,US,High,5
1585,Nat,US,Mid,4
1586,Nat,US,Low,9
1587,Nat,NZ,High,19
1588,Nat,NZ,Mid,10
1589,Nat,NZ,Low,6
1590,Nat,AUS,High,35
1591,Nat,AUS,Mid,22
1592,Nat,AUS,Low,2
1593,Sty,US,High,9
1594,Sty,US,Mid,1
1595,Sty,US,Low,6
1596,Nat,US,High,10
1597,Nat,US,Mid,3
1598,Nat,US,Low,6
1599,Nat,AUS,High,28
1600,Nat,AUS,Mid,7
1601,Nat,AUS,Low,6
1602,Nat,NZ,High,22
1603,Nat,NZ,Mid,12
1604,Nat,NZ,Low,6
1605,Phr,AUS,High,24
1606,Phr,AUS,Mid,8
1607,Phr,AUS,Low,3
1608,Nat,AUS,High,16
1609,Nat,AUS,Mid,4
1610,Nat,AUS,Low,3
1611,Sty,UK,High,17
1612,Sty,UK,Mid,12
1613,Sty,UK,Low,3
1614,Nat,UK,High,12
1615,Nat,UK,Mid,8
1616,Nat,UK,Low,4
1620,Par,CAN,High,20
1621,Par,CAN,Mid,13
1622,Par,CAN,Low,2
1623,Nat,CAN,High,13
1624,Nat,CAN,Mid,6
1625,Nat,CAN,Low,3
1626,Nat,CAN,High,20
1627,Nat,CAN,Mid,14
1628,Nat,CAN,Low,2
1629,Phr,NZ,High,13
1630,Phr,NZ,Mid,6
1631,Phr,NZ,Low,5
1632,Nat,NZ,High,7
1633,Nat,NZ,Mid,4
1634,Nat,NZ,Low,12
1635,Nat,NZ,High,34
1636,Nat,NZ,Mid,13
1637,Nat,NZ,Low,7
1638,Nat,NZ,High,18
1639,Nat,NZ,Mid,19
1640,Nat,NZ,Low,7
1641,Phr,NZ,High,14
1642,Phr,NZ,Mid,8
1643,Phr,NZ,Low,2
1644,Nat,NZ,High,13
1645,Nat,NZ,Mid,6
1646,Nat,NZ,Low,6
1647,Sty,US,High,7
1648,Sty,US,Mid,5
1649,Sty,US,Low,8
1650,Nat,US,High,7
1651,Nat,US,Mid,1
1652,Nat,US,Low,4
1653,Nat,NZ,High,18
1654,Nat,NZ,Mid,14
1655,Nat,NZ,Low,15
1659,Par,NZ,High,14
1660,Par,NZ,Mid,8
1661,Par,NZ,Low,8
1662,Nat,NZ,High,19
1663,Nat,NZ,Mid,4
1664,Nat,NZ,Low,2
1665,Phr,NZ,High,20
1666,Phr,NZ,Mid,6
1667,Phr,NZ,Low,1
1668,Nat,NZ,High,7
1669,Nat,NZ,Mid,6
1670,Nat,NZ,Low,1
1671,Phr,NZ,High,7
1672,Phr,NZ,Mid,5
1673,Phr,NZ,Low,2
1674,Nat,NZ,High,15
1675,Nat,NZ,Mid,2
1676,Nat,NZ,Low,4
1677,Phr,CAN,High,10
1678,Phr,CAN,Mid,9
1679,Phr,CAN,Low,1
1680,Nat,CAN,High,10
1681,Nat,CAN,Mid,4
1682,Nat,CAN,Low,2
1683,Sty,NZ,High,11
1684,Sty,NZ,Mid,5
1685,Sty,NZ,Low,3
1686,Nat,NZ,High,10
1687,Nat,NZ,Mid,6
1688,Nat,NZ,Low,3
1689,Phr,UK,High,20
1690,Phr,UK,Mid,2
1691,Phr,UK,Low,1
1692,Nat,UK,High,15
1693,Nat,UK,Mid,9
1694,Nat,UK,Low,3
1695,Nat,NZ,High,22
1696,Nat,NZ,Mid,13
1697,Nat,NZ,Low,7
1698,Sty,NZ,High,25
1699,Sty,NZ,Mid,1
1700,Sty,NZ,Low,5
1701,Nat,NZ,High,22
1702,Nat,NZ,Mid,6
1703,Nat,NZ,Low,8
1704,Nat,CAN,High,19
1705,Nat,CAN,Mid,12
1706,Nat,CAN,Low,7
1710,Par,NZ,High,20
1711,Par,NZ,Mid,16
1712,Par,NZ,Low,2
1713,Nat,NZ,High,13
1714,Nat,NZ,Mid,10
1715,Nat,NZ,Low,3
1716,Phr,US,High,11
1717,Phr,US,Mid,5
1718,Phr,US,Low,7
1719,Nat,US,High,8
1720,Nat,US,Mid,5
1721,Nat,US,Low,4
1722,Nat,CAN,High,14
1723,Nat,CAN,Mid,7
1724,Nat,CAN,Low,4
1725,Phr,US,High,13
1726,Phr,US,Mid,7
1727,Phr,US,Low,8
1728,Nat,US,High,21
1729,Nat,US,Mid,2
1730,Nat,US,Low,6
1731,Nat,NZ,High,25
1732,Nat,NZ,Mid,9
1733,Nat,NZ,Low,4
1737,Par,NZ,High,15
1738,Par,NZ,Mid,6
1739,Par,NZ,Low,1
1740,Nat,NZ,High,27
1741,Nat,NZ,Mid,5
1742,Nat,NZ,Low,5
1743,Sty,NZ,High,16
1744,Sty,NZ,Mid,18
1745,Sty,NZ,Low,1
1746,Nat,NZ,High,12
1747,Nat,NZ,Mid,6
1748,Nat,NZ,Low,3
1752,Par,CAN,High,12
1753,Par,CAN,Mid,7
1754,Par,CAN,Low,5
1755,Nat,CAN,High,16
1756,Nat,CAN,Mid,6
1757,Nat,CAN,Low,3
1758,Phr,CAN,High,10
1759,Phr,CAN,Mid,5
1760,Phr,CAN,Low,1
1761,Nat,CAN,High,15
1762,Nat,CAN,Mid,1
1763,Nat,CAN,Low,3
1764,Nat,CAN,High,25
1765,Nat,CAN,Mid,21
1766,Nat,CAN,Low,1
1767,Par,NZ,High,17
1768,Par,NZ,Mid,2
1769,Par,NZ,Low,3
1770,Nat,NZ,High,18
1771,Nat,NZ,Mid,7
1772,Nat,NZ,Low,5
1773,Sty,CAN,High,5
1774,Sty,CAN,Mid,4
1775,Sty,CAN,Low,10
1776,Nat,CAN,High,14
1777,Nat,CAN,Mid,7
1778,Nat,CAN,Low,4
1779,Nat,AUS,High,38
1780,Nat,AUS,Mid,17
1781,Nat,AUS,Low,9
1782,Phr,NZ,High,9
1783,Phr,NZ,Mid,2
1784,Phr,NZ,Low,0
1785,Nat,NZ,High,10
1786,Nat,NZ,Mid,4
1787,Nat,NZ,Low,0
1788,Phr,AUS,High,17
1789,Phr,AUS,Mid,6
1790,Phr,AUS,Low,8
1791,Nat,AUS,High,18
1792,Nat,AUS,Mid,11
1793,Nat,AUS,Low,3
1794,Sty,UK,High,10
1795,Sty,UK,Mid,0
1796,Sty,UK,Low,2
1797,Nat,UK,High,14
1798,Nat,UK,Mid,2
1799,Nat,UK,Low,2
1803,Par,AUS,High,28
1804,Par,AUS,Mid,5
1805,Par,AUS,Low,4
1806,Nat,AUS,High,13
1807,Nat,AUS,Mid,8
1808,Nat,AUS,Low,4
1809,Nat,AUS,High,24
1810,Nat,AUS,Mid,8
1811,Nat,AUS,Low,9
1812,Sty,AUS,High,11
1813,Sty,AUS,Mid,0
1814,Sty,AUS,Low,4
1815,Nat,AUS,High,12
1816,Nat,AUS,Mid,6
1817,Nat,AUS,Low,3
1818,Sty,CAN,High,11
1819,Sty,CAN,Mid,8
1820,Sty,CAN,Low,2
1821,Nat,CAN,High,10
1822,Nat,CAN,Mid,6
1823,Nat,CAN,Low,3
1824,Nat,NZ,High,33
1825,Nat,NZ,Mid,14
1826,Nat,NZ,Low,1
1827,Sty,AUS,High,26
1828,Sty,AUS,Mid,11
1829,Sty,AUS,Low,6
1830,Nat,AUS,High,10
1831,Nat,AUS,Mid,5
1832,Nat,AUS,Low,7
1833,Sty,AUS,High,18
1834,Sty,AUS,Mid,9
1835,Sty,AUS,Low,2
1836,Nat,AUS,High,16
1837,Nat,AUS,Mid,5
1838,Nat,AUS,Low,1
1839,Nat,CAN,High,20
1840,Nat,CAN,Mid,16
1841,Nat,CAN,Low,7
1842,Phr,NZ,High,10
1843,Phr,NZ,Mid,12
1844,Phr,NZ,Low,0
1845,Nat,NZ,High,14
1846,Nat,NZ,Mid,4
1847,Nat,NZ,Low,4
1848,Nat,NZ,High,28
1849,Nat,NZ,Mid,10
1850,Nat,NZ,Low,6
1854,Par,AUS,High,15
1855,Par,AUS,Mid,16
1856,Par,AUS,Low,3
1857,Nat,AUS,High,18
1858,Nat,AUS,Mid,10
1859,Nat,AUS,Low,2
1863,Par,CAN,High,12
1864,Par,CAN,Mid,2
1865,Par,CAN,Low,3
1866,Nat,CAN,High,7
1867,Nat,CAN,Mid,5
1868,Nat,CAN,Low,3
1869,Nat,AUS,High,21
1870,Nat,AUS,Mid,22
1871,Nat,AUS,Low,3
1872,Par,AUS,High,22
1873,Par,AUS,Mid,5
1874,Par,AUS,Low,4
1875,Nat,AUS,High,17
1876,Nat,AUS,Mid,13
1877,Nat,AUS,Low,6
1878,Phr,NZ,High,14
1879,Phr,NZ,Mid,3
1880,Phr,NZ,Low,6
1881,Nat,NZ,High,8
1882,Nat,NZ,Mid,8
1883,Nat,NZ,Low,3
1884,Sty,CAN,High,14
1885,Sty,CAN,Mid,10
1886,Sty,CAN,Low,3
1887,Nat,CAN,High,24
1888,Nat,CAN,Mid,5
1889,Nat,CAN,Low,1
1890,Phr,CAN,High,12
1891,Phr,CAN,Mid,11
1892,Phr,CAN,Low,3
1893,Nat,CAN,High,13
1894,Nat,CAN,Mid,8
1895,Nat,CAN,Low,2
1899,Par,CAN,High,20
1900,Par,CAN,Mid,17
1901,Par,CAN,Low,9
1902,Nat,CAN,High,20
1903,Nat,CAN,Mid,8
1904,Nat,CAN,Low,11
1908,Par,NZ,High,22
1909,Par,NZ,Mid,4
1910,Par,NZ,Low,2
1911,Nat,NZ,High,15
1912,Nat,NZ,Mid,1
1913,Nat,NZ,Low,3
1917,Par,AUS,High,11
1918,Par,AUS,Mid,4
1919,Par,AUS,Low,4
1920,Nat,AUS,High,32
1921,Nat,AUS,Mid,9
1922,Nat,AUS,Low,4
1923,Sty,NZ,High,12
1924,Sty,NZ,Mid,3
1925,Sty,NZ,Low,0
1926,Nat,NZ,High,9
1927,Nat,NZ,Mid,4
1928,Nat,NZ,Low,0
1929,Par,AUS,High,25
1930,Par,AUS,Mid,10
1931,Par,AUS,Low,6
1932,Nat,AUS,High,8
1933,Nat,AUS,Mid,6
1934,Nat,AUS,Low,2
1935,Phr,NZ,High,15
1936,Phr,NZ,Mid,5
1937,Phr,NZ,Low,1
1938,Nat,NZ,High,21
1939,Nat,NZ,Mid,11
1940,Nat,NZ,Low,0
1941,Nat,AUS,High,30
1942,Nat,AUS,Mid,13
1943,Nat,AUS,Low,8
1947,Par,CAN,High,11
1948,Par,CAN,Mid,11
1949,Par,CAN,Low,5
1950,Nat,CAN,High,12
1951,Nat,CAN,Mid,1
1952,Nat,CAN,Low,1
1953,Phr,UK,High,10
1954,Phr,UK,Mid,7
1955,Phr,UK,Low,2
1956,Nat,UK,High,11
1957,Nat,UK,Mid,13
1958,Nat,UK,Low,2
1959,Nat,AUS,High,23
1960,Nat,AUS,Mid,7
1961,Nat,AUS,Low,4
1962,Par,NZ,High,14
1963,Par,NZ,Mid,8
1964,Par,NZ,Low,3
1965,Nat,NZ,High,12
1966,Nat,NZ,Mid,7
1967,Nat,NZ,Low,0
1968,Sty,NZ,High,15
1969,Sty,NZ,Mid,4
1970,Sty,NZ,Low,5
1971,Nat,NZ,High,7
1972,Nat,NZ,Mid,5
1973,Nat,NZ,Low,0
1977,Par,AUS,High,12
1978,Par,AUS,Mid,7
1979,Par,AUS,Low,5
1980,Nat,AUS,High,11
1981,Nat,AUS,Mid,1
1982,Nat,AUS,Low,2
1986,Par,NZ,High,15
1987,Par,NZ,Mid,9
1988,Par,NZ,Low,8
1989,Nat,NZ,High,17
1990,Nat,NZ,Mid,8
1991,Nat,NZ,Low,3
1992,Phr,NZ,High,24
1993,Phr,NZ,Mid,10
1994,Phr,NZ,Low,0
1995,Nat,NZ,High,22
1996,Nat,NZ,Mid,6
1997,Nat,NZ,Low,2
1998,Sty,US,High,13
1999,Sty,US,Mid,3
2000,Sty,US,Low,2
2001,Nat,US,High,13
2002,Nat,US,Mid,10
2003,Nat,US,Low,0
2004,Phr,CAN,High,15
2005,Phr,CAN,Mid,4
2006,Phr,CAN,Low,2
2007,Nat,CAN,High,2
2008,Nat,CAN,Mid,2
2009,Nat,CAN,Low,0
2013,Par,CAN,High,22
2014,Par,CAN,Mid,6
2015,Par,CAN,Low,4
2016,Nat,CAN,High,15
2017,Nat,CAN,Mid,8
2018,Nat,CAN,Low,3
2019,Nat,NZ,High,31
2020,Nat,NZ,Mid,15
2021,Nat,NZ,Low,3
2022,Nat,NZ,High,35
2023,Nat,NZ,Mid,21
2024,Nat,NZ,Low,8
2025,Par,CAN,High,26
2026,Par,CAN,Mid,6
2027,Par,CAN,Low,2
2028,Nat,CAN,High,8
2029,Nat,CAN,Mid,4
2030,Nat,CAN,Low,3
2031,Sty,AUS,High,18
2032,Sty,AUS,Mid,4
2033,Sty,AUS,Low,4
2034,Nat,AUS,High,26
2035,Nat,AUS,Mid,5
2036,Nat,AUS,Low,2
2037,Nat,CAN,High,15
2038,Nat,CAN,Mid,8
2039,Nat,CAN,Low,4
2040,Sty,NZ,High,16
2041,Sty,NZ,Mid,12
2042,Sty,NZ,Low,6
2043,Nat,NZ,High,9
2044,Nat,NZ,Mid,5
2045,Nat,NZ,Low,2
2046,Par,CAN,High,30
2047,Par,CAN,Mid,20
2048,Par,CAN,Low,11
2049,Nat,CAN,High,13
2050,Nat,CAN,Mid,1
2051,Nat,CAN,Low,4
2052,Sty,AUS,High,10
2053,Sty,AUS,Mid,9
2054,Sty,AUS,Low,2
2055,Nat,AUS,High,10
2056,Nat,AUS,Mid,7
2057,Nat,AUS,Low,5
2058,Phr,NZ,High,20
2059,Phr,NZ,Mid,6
2060,Phr,NZ,Low,4
2061,Nat,NZ,High,19
2062,Nat,NZ,Mid,10
2063,Nat,NZ,Low,4
2064,Sty,CAN,High,10
2065,Sty,CAN,Mid,4
2066,Sty,CAN,Low,1
2067,Nat,CAN,High,5
2068,Nat,CAN,Mid,5
2069,Nat,CAN,Low,4
