,Condition,Variety,Type,Frequency
261,Nat,UK,High,19
262,Nat,UK,Mid,10
263,Nat,UK,Low,1
264,Sty,UK,High,13
265,Sty,UK,Mid,5
266,Sty,UK,Low,6
267,Nat,UK,High,22
268,Nat,UK,Mid,10
269,Nat,UK,Low,1
270,Sty,UK,High,10
271,Sty,UK,Mid,7
272,Sty,UK,Low,5
273,Nat,UK,High,12
274,Nat,UK,Mid,5
275,Nat,UK,Low,6
279,Par,CAN,High,17
280,Par,CAN,Mid,11
281,Par,CAN,Low,3
282,Nat,CAN,High,18
283,Nat,CAN,Mid,12
284,Nat,CAN,Low,1
285,Sty,CAN,High,7
286,Sty,CAN,Mid,10
287,Sty,CAN,Low,3
288,Nat,CAN,High,12
289,Nat,CAN,Mid,8
290,Nat,CAN,Low,1
291,Nat,US,High,39
292,Nat,US,Mid,3
293,Nat,US,Low,7
294,Phr,NZ,High,10
295,Phr,NZ,Mid,3
296,Phr,NZ,Low,7
297,Nat,NZ,High,20
298,Nat,NZ,Mid,5
299,Nat,NZ,Low,8
300,Sty,AUS,High,19
301,Sty,AUS,Mid,5
302,Sty,AUS,Low,5
303,Nat,AUS,High,6
304,Nat,AUS,Mid,7
305,Nat,AUS,Low,5
306,Phr,NZ,High,15
307,Phr,NZ,Mid,10
308,Phr,NZ,Low,4
309,Nat,NZ,High,16
310,Nat,NZ,Mid,7
311,Nat,NZ,Low,4
312,Par,CAN,High,19
313,Par,CAN,Mid,15
314,Par,CAN,Low,0
315,Nat,CAN,High,14
316,Nat,CAN,Mid,4
317,Nat,CAN,Low,5
318,Nat,AUS,High,32
319,Nat,AUS,Mid,22
320,Nat,AUS,Low,1
321,Phr,UK,High,15
322,Phr,UK,Mid,5
323,Phr,UK,Low,4
324,Nat,UK,High,17
325,Nat,UK,Mid,6
326,Nat,UK,Low,1
327,Sty,UK,High,7
328,Sty,UK,Mid,8
329,Sty,UK,Low,3
330,Nat,UK,High,7
331,Nat,UK,Mid,7
332,Nat,UK,Low,3
333,Sty,UK,High,7
334,Sty,UK,Mid,9
335,Sty,UK,Low,2
336,Nat,UK,High,11
337,Nat,UK,Mid,7
338,Nat,UK,Low,6
339,Phr,UK,High,18
340,Phr,UK,Mid,12
341,Phr,UK,Low,4
342,Nat,UK,High,22
343,Nat,UK,Mid,6
344,Nat,UK,Low,3
345,Phr,UK,High,14
346,Phr,UK,Mid,8
347,Phr,UK,Low,5
348,Nat,UK,High,4
349,Nat,UK,Mid,4
350,Nat,UK,Low,2
351,Phr,CAN,High,15
352,Phr,CAN,Mid,5
353,Phr,CAN,Low,2
354,Nat,CAN,High,6
355,Nat,CAN,Mid,14
356,Nat,CAN,Low,3
357,Phr,US,High,18
358,Phr,US,Mid,4
359,Phr,US,Low,1
360,Nat,US,High,13
361,Nat,US,Mid,5
362,Nat,US,Low,1
363,Sty,UK,High,12
364,Sty,UK,Mid,7
365,Sty,UK,Low,6
366,Nat,UK,High,18
367,Nat,UK,Mid,10
368,Nat,UK,Low,3
369,Sty,CAN,High,16
370,Sty,CAN,Mid,4
371,Sty,CAN,Low,2
372,Nat,CAN,High,22
373,Nat,CAN,Mid,7
374,Nat,CAN,Low,3
375,Sty,CAN,High,14
376,Sty,CAN,Mid,2
377,Sty,CAN,Low,4
378,Nat,CAN,High,12
379,Nat,CAN,Mid,7
380,Nat,CAN,Low,2
381,Nat,CAN,High,22
382,Nat,CAN,Mid,10
383,Nat,CAN,Low,4
384,Phr,AUS,High,9
385,Phr,AUS,Mid,6
386,Phr,AUS,Low,2
387,Nat,AUS,High,19
388,Nat,AUS,Mid,9
389,Nat,AUS,Low,2
390,Nat,UK,High,20
391,Nat,UK,Mid,14
392,Nat,UK,Low,7
396,Par,CAN,High,9
397,Par,CAN,Mid,9
398,Par,CAN,Low,5
399,Nat,CAN,High,15
400,Nat,CAN,Mid,4
401,Nat,CAN,Low,4
402,Sty,US,High,9
403,Sty,US,Mid,5
404,Sty,US,Low,2
405,Nat,US,High,6
406,Nat,US,Mid,4
407,Nat,US,Low,4
411,Par,US,High,11
412,Par,US,Mid,9
413,Par,US,Low,9
414,Nat,US,High,9
415,Nat,US,Mid,9
416,Nat,US,Low,1
420,Par,CAN,High,7
421,Par,CAN,Mid,1
422,Par,CAN,Low,6
423,Nat,CAN,High,6
424,Nat,CAN,Mid,2
425,Nat,CAN,Low,3
426,Par,UK,High,8
427,Par,UK,Mid,3
428,Par,UK,Low,3
429,Nat,UK,High,4
430,Nat,UK,Mid,10
431,Nat,UK,Low,1
435,Par,NZ,High,14
436,Par,NZ,Mid,6
437,Par,NZ,Low,7
438,Nat,NZ,High,8
439,Nat,NZ,Mid,8
440,Nat,NZ,Low,7
441,Sty,AUS,High,16
442,Sty,AUS,Mid,3
443,Sty,AUS,Low,7
444,Nat,AUS,High,11
445,Nat,AUS,Mid,6
446,Nat,AUS,Low,0
447,Nat,UK,High,26
448,Nat,UK,Mid,11
449,Nat,UK,Low,4
450,Nat,CAN,High,28
451,Nat,CAN,Mid,7
452,Nat,CAN,Low,3
453,Sty,US,High,5
454,Sty,US,Mid,7
455,Sty,US,Low,4
456,Nat,US,High,4
457,Nat,US,Mid,2
458,Nat,US,Low,4
459,Nat,AUS,High,23
460,Nat,AUS,Mid,11
461,Nat,AUS,Low,1
462,Sty,NZ,High,19
463,Sty,NZ,Mid,14
464,Sty,NZ,Low,3
465,Nat,NZ,High,14
466,Nat,NZ,Mid,8
467,Nat,NZ,Low,4
468,Nat,UK,High,30
469,Nat,UK,Mid,7
470,Nat,UK,Low,7
471,Sty,NZ,High,19
472,Sty,NZ,Mid,7
473,Sty,NZ,Low,4
474,Nat,NZ,High,17
475,Nat,NZ,Mid,3
476,Nat,NZ,Low,4
477,Phr,CAN,High,21
478,Phr,CAN,Mid,1
479,Phr,CAN,Low,2
480,Nat,CAN,High,20
481,Nat,CAN,Mid,1
482,Nat,CAN,Low,5
483,Phr,US,High,12
484,Phr,US,Mid,8
485,Phr,US,Low,1
486,Nat,US,High,8
487,Nat,US,Mid,3
488,Nat,US,Low,17
489,Phr,UK,High,8
490,Phr,UK,Mid,7
491,Phr,UK,Low,1
492,Nat,UK,High,22
493,Nat,UK,Mid,5
494,Nat,UK,Low,3
498,Par,UK,High,7
499,Par,UK,Mid,7
500,Par,UK,Low,4
501,Nat,UK,High,11
502,Nat,UK,Mid,8
503,Nat,UK,Low,2
504,Phr,AUS,High,11
505,Phr,AUS,Mid,6
506,Phr,AUS,Low,3
507,Nat,AUS,High,8
508,Nat,AUS,Mid,2
509,Nat,AUS,Low,5
510,Phr,AUS,High,15
511,Phr,AUS,Mid,9
512,Phr,AUS,Low,5
513,Nat,AUS,High,16
514,Nat,AUS,Mid,7
515,Nat,AUS,Low,2
516,Phr,UK,High,18
517,Phr,UK,Mid,5
518,Phr,UK,Low,0
519,Nat,UK,High,16
520,Nat,UK,Mid,4
521,Nat,UK,Low,4
525,Par,UK,High,16
526,Par,UK,Mid,10
527,Par,UK,Low,9
528,Nat,UK,High,26
529,Nat,UK,Mid,1
