,Condition,Variety,ConditionVariety,POS,Frequency
126,Phr,AUS,Phr_AUS,Adjectives,0.067368421
127,Phr,AUS,Phr_AUS,Adverbs,0.068421053
128,Nat,AUS,Nat_AUS,Verbs,0.160220994
129,Nat,AUS,Nat_AUS,Nouns,0.154696133
130,Nat,AUS,Nat_AUS,Adjectives,0.080110497
131,Nat,AUS,Nat_AUS,Adverbs,0.048342541
132,Nat,UK,Nat_UK,Verbs,0.123218776
133,Nat,UK,Nat_UK,Nouns,0.137468567
134,Nat,UK,Nat_UK,Adjectives,0.070410729
135,Nat,UK,Nat_UK,Adverbs,0.0620285
140,Par,UK,Par_UK,Verbs,0.136134454
141,Par,UK,Par_UK,Nouns,0.164705882
142,Par,UK,Par_UK,Adjectives,0.077310924
143,Par,UK,Par_UK,Adverbs,0.070588235
144,Nat,UK,Nat_UK,Verbs,0.126537786
145,Nat,UK,Nat_UK,Nouns,0.214411248
146,Nat,UK,Nat_UK,Adjectives,0.061511424
147,Nat,UK,Nat_UK,Adverbs,0.0456942
148,Sty,AUS,Sty_AUS,Verbs,0.125429553
149,Sty,AUS,Sty_AUS,Nouns,0.156357388
150,Sty,AUS,Sty_AUS,Adjectives,0.089347079
151,Sty,AUS,Sty_AUS,Adverbs,0.056701031
152,Nat,AUS,Nat_AUS,Verbs,0.120071685
153,Nat,AUS,Nat_AUS,Nouns,0.161290323
154,Nat,AUS,Nat_AUS,Adjectives,0.078853047
155,Nat,AUS,Nat_AUS,Adverbs,0.055555556
156,Sty,US,Sty_US,Verbs,0.137693632
157,Sty,US,Sty_US,Nouns,0.158347676
158,Sty,US,Sty_US,Adjectives,0.051635112
159,Sty,US,Sty_US,Adverbs,0.074010327
160,Nat,US,Nat_US,Verbs,0.127208481
161,Nat,US,Nat_US,Nouns,0.192579505
162,Nat,US,Nat_US,Adjectives,0.049469965
163,Nat,US,Nat_US,Adverbs,0.030035336
164,Sty,US,Sty_US,Verbs,0.122278057
165,Sty,US,Sty_US,Nouns,0.169179229
166,Sty,US,Sty_US,Adjectives,0.061976549
167,Sty,US,Sty_US,Adverbs,0.055276382
168,Nat,US,Nat_US,Verbs,0.127504554
169,Nat,US,Nat_US,Nouns,0.136612022
170,Nat,US,Nat_US,Adjectives,0.06557377
171,Nat,US,Nat_US,Adverbs,0.120218579
172,Nat,CAN,Nat_CAN,Verbs,0.136563877
173,Nat,CAN,Nat_CAN,Nouns,0.15051395
174,Nat,CAN,Nat_CAN,Adjectives,0.045521292
175,Nat,CAN,Nat_CAN,Adverbs,0.055066079
176,Phr,UK,Phr_UK,Verbs,0.143327842
177,Phr,UK,Phr_UK,Nouns,0.187808896
178,Phr,UK,Phr_UK,Adjectives,0.074135091
179,Phr,UK,Phr_UK,Adverbs,0.060955519
180,Nat,UK,Nat_UK,Verbs,0.148514851
181,Nat,UK,Nat_UK,Nouns,0.179317932
182,Nat,UK,Nat_UK,Adjectives,0.061606161
183,Nat,UK,Nat_UK,Adverbs,0.04070407
188,Par,UK,Par_UK,Verbs,0.126079447
189,Par,UK,Par_UK,Nouns,0.203799655
190,Par,UK,Par_UK,Adjectives,0.07253886
191,Par,UK,Par_UK,Adverbs,0.051813472
192,Nat,UK,Nat_UK,Verbs,0.14137931
193,Nat,UK,Nat_UK,Nouns,0.132758621
194,Nat,UK,Nat_UK,Adjectives,0.062068966
195,Nat,UK,Nat_UK,Adverbs,0.051724138
200,Par,UK,Par_UK,Verbs,0.147011309
201,Par,UK,Par_UK,Nouns,0.153473344
202,Par,UK,Par_UK,Adjectives,0.079159935
